become; became; стать становиться; стал становился
begin; began; начать начинать; начал начинал
bite; bit; укусить кусать; укусил кусал
bring; brought; принести приносить нести; принёс приносил нёс
build; built; построить строить; построил строил
buy; bought; купить покупать; купил покупал
can; could; уметь мочь; мог умел
catch; caught; поймать ловить; поймал ловил
come; came; прийти приходить; пришёл приходил
drink; drank; пить попить выпить; пил попил выпил
eat; ate; есть съесть поесть; ел съел поел
fall; fell; падать упасть; упал падал
feel; felt; чувствовать почувствовать; чувствовал почувствовал
fight; fought; драться подраться; дрался подрался
find; found; найти находить; нашёл находил
fly; flew; летать лететь; летел летал
give; gave; давать дать; дал давал
go; went; ходить идти; шёл ходил
grow; grew; расти; рос
have; had; иметь; имел
hear; heard; слышать услышать; слышал услышал
keep; kept; хранить; хранил
know; knew; знать; знал
let; let; позволить разрешить пустить позволять разрешать пускать; позволил разрешил пустил позволял разрешал пускал
make; made; делать сделать; делал сделал
mean; meant; значить означать; значил означал
put; put; положить класть; положил клал
read; read; читать прочитать; читал прочитал
say; said; сказать произнести рассказать произносить говорить рассказывать; сказал произнёс рассказал говорил произносил рассказывал
see; saw; видеть увидеть; видел увидел
sit; sat; сидеть сесть; сидел сел
sleep; slept; спать; спал
speak; spoke; говорить разговаривать; говорил разговаривал
strike; struck; ударить бить; ударил бил
take; took; брать взять; взял брал
teach; taught; учить научить; учил научил
tell; told; сказать сообщить говорить сообщать; сказал сообщил говорил сообщал
think; thought; думать подумать; думал подумал
understand; understood; понимать понять; понимал понял
write; wrote; писать написать; писал написал
